,song_city,song_state,song_artist,song_name
141,Texas,Alabama,Restless Heart,The Bluest Eyes in Texas
142,Texas,Alabama,W.A.S.P.,Blind in Texas [Live; Bonus Track]
143,Texas,Alabama,The Kingston Trio,Texas Across the River
144,Texas,Alabama,Waylon Jennings,Waltz Across Texas
145,Texas,Alabama,George Strait,Texas
146,Texas,Alabama,Ernest Tubb,Waltz Across Texas
147,Texas,Alabama,Joe Ely,West Texas Waltz
148,Texas,Alabama,"Lil' Keke, Bun B, Slim Thug",Knowhatimsayin
149,Texas,Alabama,Jason Aldean,Texas Was You
150,Texas,Alabama,Rushlow,Texas Is My Kind of Town
151,Texas,Alabama,Helge Schneider,Texas
152,Texas,Alabama,Kenny Rogers,No Good Texas Rounder
153,Texas,Alabama,George Jones,Pretty Little Lady from Beaumont Texas
154,Texas,Alabama,Future,Desires
155,Texas,Alabama,Keith Urban,Texas Time
156,Texas,Alabama,Wade Bowen,West Texas Rain
157,Texas,Alabama,Prince Buster,Texas Hold-Up
158,Texas,Alabama,Little Texas,Texas 101
159,Texas,Alabama,Cal Smith,Waltz Across Texas
160,Texas,Alabama,David Allan Coe,Texas Lullaby
161,Texas,Alabama,Bill Anderson,Sweet Texas
162,Texas,Alabama,Asleep at the Wheel,You're from Texas
163,Texas,Alabama,Chris Young,Text Me Texas
164,Texas,Alabama,Foster & Lloyd,Texas in 1880
165,Texas,Alabama,Trae,I'm From Texas
166,Texas,Alabama,Hubert-Félix Thiéfaine,MAALOX TEXAS BLUES
167,Texas,Alabama,Golden Delicious,Waltz Across Texas
168,Texas,Alabama,Ernest Tubb,Waltz Across Texas
169,Texas,Alabama,Justin Tubb,Waltz Across Texas
170,Texas,Alabama,Sammi Smith,Waltz Across Texas
171,Texas,Alabama,Waylon Jennings,Bob Wills Is Still the King [Live]
172,Texas,Alabama,Judy Garland,Texas Tornado
173,Texas,Alabama,Marty Robbins,Big Iron
174,Texas,Alabama,Dean Martin,It's 1200 Miles from Palm Springs to Texas [Previously Unreleased Track]
175,Texas,Alabama,Marty Robbins,Big Iron
176,Texas,Alabama,Pat Green,Somewhere Between Texas and Mexico
177,Texas,Alabama,Ramones,Chainsaw
178,Texas,Alabama,Ramones,Chain Saw
179,Texas,Alabama,Roy Rogers,Yellow Rose of Texas
180,Texas,Alabama,Johnny Cash,Big Iron
181,Texas,Alabama,Emmylou Harris,West Texas Waltz
182,Texas,Alabama,Van Morrison,Moonshine Whiskey
183,Texas,Alabama,Marty Robbins,Little Joe the Wrangler
184,Texas,Alabama,Emmylou Harris,West Texas Waltz
185,Texas,Alabama,Hank Williams,Seaman's Blues
186,Texas,Alabama,Taj Mahal,Texas Woman Blues
187,Texas,Alabama,Van Morrison,Moonshine Whiskey
188,Texas,Alabama,Willie Nelson,Texas
189,Texas,Alabama,Josh White Jr.,Yellow Rose of Texas
190,Texas,Alabama,Radney Foster,Texas in 1880
191,Texas,Alabama,Willie Nelson,No Place But Texas
192,Texas,Alabama,John Denver,Rita Ballou
193,Texas,Alabama,Emmylou Harris,He Rode All the Way to Texas
194,Texas,Alabama,Asleep at the Wheel,Bob Wills Is Still the King
195,Texas,Alabama,Lateasha,Moonshine Whiskey
196,Texas,Alabama,Charlie Daniels,"Sweetwater, Texas"
197,Texas,Alabama,Hank Thompson,The Eyes of Texas
198,Texas,Alabama,Little Feat,Texas Twister
199,Texas,Alabama,Montgomery Gentry,Your Tears Are Comin'
