,Unnamed: 0,state,city,song,artist,uris,popularity,date,error,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
115,116, Massachusetts,Boston,T DJ,Freezepop,spotify:track:3Vl3oaMGeQHb6gazpJyfpM,8,2001-01-01,,0.805,0.7,7.0,-7.742,1.0,0.0731,0.0533,0.0592,0.104,0.815,149.962,audio_features,3Vl3oaMGeQHb6gazpJyfpM,spotify:track:3Vl3oaMGeQHb6gazpJyfpM,https://api.spotify.com/v1/tracks/3Vl3oaMGeQHb6gazpJyfpM,https://api.spotify.com/v1/audio-analysis/3Vl3oaMGeQHb6gazpJyfpM,205733.0,4.0
116,117, Massachusetts,Boston,Tessie,Dropkick Murphys,spotify:track:27hX5P9TCxw9LW8p8AkwMU,43,2005-07-19,,0.257,0.894,10.0,-3.164,1.0,0.0625,0.0116,0.0,0.295,0.502,141.93,audio_features,27hX5P9TCxw9LW8p8AkwMU,spotify:track:27hX5P9TCxw9LW8p8AkwMU,https://api.spotify.com/v1/tracks/27hX5P9TCxw9LW8p8AkwMU,https://api.spotify.com/v1/audio-analysis/27hX5P9TCxw9LW8p8AkwMU,255533.0,4.0
117,118, Massachusetts,Boston,There's A Black Hole in the Shadow of The Pru,American Nightmare,spotify:track:7c65RCC89K9QFrMjeppNOk,20,2001,,0.421,0.984,10.0,-3.386,0.0,0.2,0.000291,0.0,0.451,0.426,106.844,audio_features,7c65RCC89K9QFrMjeppNOk,spotify:track:7c65RCC89K9QFrMjeppNOk,https://api.spotify.com/v1/tracks/7c65RCC89K9QFrMjeppNOk,https://api.spotify.com/v1/audio-analysis/7c65RCC89K9QFrMjeppNOk,120160.0,4.0
118,119, Massachusetts,Boston,They Came To Boston,The Mighty Mighty Bosstones,spotify:track:7tMe1KDTrcf5SGzRyYwROS,17,1992,,0.449,0.812,9.0,-9.506,1.0,0.067,0.17,0.00766,0.329,0.771,102.848,audio_features,7tMe1KDTrcf5SGzRyYwROS,spotify:track:7tMe1KDTrcf5SGzRyYwROS,https://api.spotify.com/v1/tracks/7tMe1KDTrcf5SGzRyYwROS,https://api.spotify.com/v1/audio-analysis/7tMe1KDTrcf5SGzRyYwROS,211333.0,4.0
119,120, Massachusetts,Boston,"This Is Boston, Not L.A.",The Freeze,spotify:track:698faVtMDwV6RjLqzDzMn6,0,2012-04-11,,0.719,0.245,3.0,-8.104,1.0,0.194,0.871,0.0,0.14,0.688,126.949,audio_features,698faVtMDwV6RjLqzDzMn6,spotify:track:698faVtMDwV6RjLqzDzMn6,https://api.spotify.com/v1/tracks/698faVtMDwV6RjLqzDzMn6,https://api.spotify.com/v1/audio-analysis/698faVtMDwV6RjLqzDzMn6,125600.0,4.0
120,121, Massachusetts,Boston,The Warrior's Code,Dropkick Murphys (subject of the song is boxer Micky Ward),spotify:track:6ivzLSDw82LpxXfToyb0He,55,2005-07-19,,0.342,0.981,3.0,-2.963,1.0,0.146,0.000382,7.25e-06,0.108,0.557,90.957,audio_features,6ivzLSDw82LpxXfToyb0He,spotify:track:6ivzLSDw82LpxXfToyb0He,https://api.spotify.com/v1/tracks/6ivzLSDw82LpxXfToyb0He,https://api.spotify.com/v1/audio-analysis/6ivzLSDw82LpxXfToyb0He,151840.0,4.0
121,122, Massachusetts,Boston,Time To Go,Dropkick Murphys,spotify:track:543QuFu0LhPpbIVdrACJd9,46,2003,,0.362,0.949,0.0,-3.099,1.0,0.0596,0.0196,0.0,0.0854,0.48,114.079,audio_features,543QuFu0LhPpbIVdrACJd9,spotify:track:543QuFu0LhPpbIVdrACJd9,https://api.spotify.com/v1/tracks/543QuFu0LhPpbIVdrACJd9,https://api.spotify.com/v1/audio-analysis/543QuFu0LhPpbIVdrACJd9,173133.0,4.0
122,123, Massachusetts,Boston,Twilight in Boston,Jonathan Richman,spotify:track:3kibjneJCgnKsab2SVRLuy,29,1992-01-01,,0.626,0.0334,7.0,-26.226,1.0,0.0694,0.814,0.0409,0.13,0.427,102.247,audio_features,3kibjneJCgnKsab2SVRLuy,spotify:track:3kibjneJCgnKsab2SVRLuy,https://api.spotify.com/v1/tracks/3kibjneJCgnKsab2SVRLuy,https://api.spotify.com/v1/audio-analysis/3kibjneJCgnKsab2SVRLuy,252027.0,4.0
123,124, Massachusetts,Boston,Two Soldiers,Bob Dylan,spotify:track:0VVt7RZS3yWqMeKyZA9Dsi,22,1993-10-26,,0.377,0.256,2.0,-15.85,1.0,0.0356,0.85,0.00388,0.221,0.221,112.171,audio_features,0VVt7RZS3yWqMeKyZA9Dsi,spotify:track:0VVt7RZS3yWqMeKyZA9Dsi,https://api.spotify.com/v1/tracks/0VVt7RZS3yWqMeKyZA9Dsi,https://api.spotify.com/v1/audio-analysis/0VVt7RZS3yWqMeKyZA9Dsi,342480.0,4.0
124,125, Massachusetts,Boston,UK Girl (Boston Calling),Ellis Paul,spotify:track:055prSaXfUruiWKFOE5Gpk,4,2014-07-04,,0.562,0.756,2.0,-6.0,1.0,0.0274,0.515,2.43e-06,0.0966,0.313,104.045,audio_features,055prSaXfUruiWKFOE5Gpk,spotify:track:055prSaXfUruiWKFOE5Gpk,https://api.spotify.com/v1/tracks/055prSaXfUruiWKFOE5Gpk,https://api.spotify.com/v1/audio-analysis/055prSaXfUruiWKFOE5Gpk,214493.0,4.0
125,126, Massachusetts,Boston,Walkaways,Counting Crows,spotify:track:29aBFvccQbYYmCnEBP27Y8,39,1996-01-01,,0.534,0.285,2.0,-11.717,1.0,0.0386,0.679,0.000499,0.128,0.227,97.141,audio_features,29aBFvccQbYYmCnEBP27Y8,spotify:track:29aBFvccQbYYmCnEBP27Y8,https://api.spotify.com/v1/tracks/29aBFvccQbYYmCnEBP27Y8,https://api.spotify.com/v1/audio-analysis/29aBFvccQbYYmCnEBP27Y8,72160.0,5.0
126,127, Massachusetts,Boston,Walk Up the Street,Jonathan Richman (The Modern Lovers),spotify:track:0gvQ2jlzdtbJuLFDe2O2rK,30,1973,,0.59,0.706,11.0,-9.878,0.0,0.0724,0.21,0.0,0.0877,0.836,145.045,audio_features,0gvQ2jlzdtbJuLFDe2O2rK,spotify:track:0gvQ2jlzdtbJuLFDe2O2rK,https://api.spotify.com/v1/tracks/0gvQ2jlzdtbJuLFDe2O2rK,https://api.spotify.com/v1/audio-analysis/0gvQ2jlzdtbJuLFDe2O2rK,320733.0,4.0
127,128, Massachusetts,Boston,Walkin' Around Boston,Didn't Planet,error,error,error,,,,,,,,,,,,,,,,,,,
128,129, Massachusetts,Boston,Whoever's in New England,Reba McEntire,spotify:track:6uDbVmj2b9QIrWddvadvoM,43,1986-01-01,,0.591,0.174,11.0,-17.425,1.0,0.0317,0.545,4.54e-06,0.107,0.151,75.019,audio_features,6uDbVmj2b9QIrWddvadvoM,spotify:track:6uDbVmj2b9QIrWddvadvoM,https://api.spotify.com/v1/tracks/6uDbVmj2b9QIrWddvadvoM,https://api.spotify.com/v1/audio-analysis/6uDbVmj2b9QIrWddvadvoM,203293.0,4.0
129,130, Massachusetts,Boston,Why Do I,Will Dailey,spotify:track:60Cq5dwdgwrUbFM450MmNT,4,2014-08-26,,0.621,0.797,10.0,-4.856,1.0,0.0446,0.057,2.06e-05,0.35,0.884,112.518,audio_features,60Cq5dwdgwrUbFM450MmNT,spotify:track:60Cq5dwdgwrUbFM450MmNT,https://api.spotify.com/v1/tracks/60Cq5dwdgwrUbFM450MmNT,https://api.spotify.com/v1/audio-analysis/60Cq5dwdgwrUbFM450MmNT,163510.0,3.0
130,131, Massachusetts,Boston,Wicked Little Critta,They Might Be Giants,spotify:track:6FTy1YqZl0oQKUVEWZqJyE,15,2001-09-11,,0.812,0.791,0.0,-9.968,1.0,0.124,0.0643,0.0899,0.243,0.591,97.995,audio_features,6FTy1YqZl0oQKUVEWZqJyE,spotify:track:6FTy1YqZl0oQKUVEWZqJyE,https://api.spotify.com/v1/tracks/6FTy1YqZl0oQKUVEWZqJyE,https://api.spotify.com/v1/audio-analysis/6FTy1YqZl0oQKUVEWZqJyE,131960.0,4.0
131,132, Massachusetts,Boston,Winter Afternoon  B.U. in Boston,Jonathan Richman,spotify:track:3IBQwNQVXXRThzoUpHgE9h,7,2010-11-09,,0.817,0.489,11.0,-17.514,0.0,0.0333,0.806,0.821,0.091,0.91,120.806,audio_features,3IBQwNQVXXRThzoUpHgE9h,spotify:track:3IBQwNQVXXRThzoUpHgE9h,https://api.spotify.com/v1/tracks/3IBQwNQVXXRThzoUpHgE9h,https://api.spotify.com/v1/audio-analysis/3IBQwNQVXXRThzoUpHgE9h,241973.0,4.0
132,133, Massachusetts,Boston,Young New England,Transit,spotify:track:5lnOifvD9NZKbvB0g7VfcR,36,2013-04-02,,0.639,0.616,8.0,-5.551,1.0,0.0302,0.212,0.0,0.229,0.859,99.94,audio_features,5lnOifvD9NZKbvB0g7VfcR,spotify:track:5lnOifvD9NZKbvB0g7VfcR,https://api.spotify.com/v1/tracks/5lnOifvD9NZKbvB0g7VfcR,https://api.spotify.com/v1/audio-analysis/5lnOifvD9NZKbvB0g7VfcR,230520.0,4.0
