,Unnamed: 0,Unnamed: 0.1,state,city,song,artist,uris,popularity,date,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,error,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
27,27,27.0, New Mexico,Santa Fe,Gone to Santa Fe,David Wilcox,spotify:track:5DQgyXfLsbeX2fRnwA0rTt,2,1987-08-28,,,,,,,,,,,,,,,,,,,,0.562,0.396,9.0,-14.217,1.0,0.166,0.784,0.0,0.0995,0.579,142.804,audio_features,5DQgyXfLsbeX2fRnwA0rTt,spotify:track:5DQgyXfLsbeX2fRnwA0rTt,https://api.spotify.com/v1/tracks/5DQgyXfLsbeX2fRnwA0rTt,https://api.spotify.com/v1/audio-analysis/5DQgyXfLsbeX2fRnwA0rTt,175427.0,4.0,
28,28,28.0, New Mexico,Santa Fe,"Hair of Gold, Eyes of Blue",Frank Sinatra,spotify:track:1zsSJk3hb2fvTaLx18SEW4,0,1965,,,,,,,,,,,,,,,,,,,,0.666,0.436,5.0,-10.561,1.0,0.0375,0.845,0.947,0.0666,0.791,91.34,audio_features,1zsSJk3hb2fvTaLx18SEW4,spotify:track:1zsSJk3hb2fvTaLx18SEW4,https://api.spotify.com/v1/tracks/1zsSJk3hb2fvTaLx18SEW4,https://api.spotify.com/v1/audio-analysis/1zsSJk3hb2fvTaLx18SEW4,117493.0,4.0,
29,29,29.0, New Mexico,Santa Fe,Coyote,Better Than Ezra,spotify:track:4nepaN1egb6j23LB39I7Rh,18,1995-02-28,,,,,,,,,,,,,,,,,,,,0.442,0.301,7.0,-11.416,1.0,0.0589,0.00644,0.00897,0.214,0.723,118.859,audio_features,4nepaN1egb6j23LB39I7Rh,spotify:track:4nepaN1egb6j23LB39I7Rh,https://api.spotify.com/v1/tracks/4nepaN1egb6j23LB39I7Rh,https://api.spotify.com/v1/audio-analysis/4nepaN1egb6j23LB39I7Rh,373560.0,4.0,
30,30,30.0, New Mexico,Santa Fe,G.I. Five,Johnny Mercer,spotify:track:0n9ADfQmP3mfglcD8l3RvX,0,2005-04-20,,,,,,,,,,,,,,,,,,,,0.647,0.462,0.0,-10.449,1.0,0.898,0.961,0.000693,0.65,0.652,105.36,audio_features,0n9ADfQmP3mfglcD8l3RvX,spotify:track:0n9ADfQmP3mfglcD8l3RvX,https://api.spotify.com/v1/tracks/0n9ADfQmP3mfglcD8l3RvX,https://api.spotify.com/v1/audio-analysis/0n9ADfQmP3mfglcD8l3RvX,323973.0,4.0,
31,31,31.0, New Mexico,Santa Fe,Lose That Girl,Saint Etienne,spotify:track:4QxOUtAmw5p2R14BKArkIH,24,1998-01-01,,,,,,,,,,,,,,,,,,,,0.646,0.92,7.0,-4.827,0.0,0.0269,0.00934,0.00159,0.108,0.939,140.302,audio_features,4QxOUtAmw5p2R14BKArkIH,spotify:track:4QxOUtAmw5p2R14BKArkIH,https://api.spotify.com/v1/tracks/4QxOUtAmw5p2R14BKArkIH,https://api.spotify.com/v1/audio-analysis/4QxOUtAmw5p2R14BKArkIH,243333.0,4.0,
32,32,32.0, New Mexico,Santa Fe,New Mexico's no Breeze,Iron & Wine,spotify:track:6EvFPkPbgkV7jDNFGGxoaq,24,2013-04-16,,,,,,,,,,,,,,,,,,,,0.596,0.538,5.0,-9.692,1.0,0.0255,0.322,0.002,0.113,0.745,133.818,audio_features,6EvFPkPbgkV7jDNFGGxoaq,spotify:track:6EvFPkPbgkV7jDNFGGxoaq,https://api.spotify.com/v1/tracks/6EvFPkPbgkV7jDNFGGxoaq,https://api.spotify.com/v1/audio-analysis/6EvFPkPbgkV7jDNFGGxoaq,267720.0,4.0,
33,33,33.0, New Mexico,Santa Fe,Midnight Train,Charlie Daniels Band,spotify:track:6bfo2lxh8b1DjuQvUA82fY,19,1988,,,,,,,,,,,,,,,,,,,,0.56,0.793,9.0,-11.745,1.0,0.0437,0.00905,1.95e-06,0.358,0.773,142.804,audio_features,6bfo2lxh8b1DjuQvUA82fY,spotify:track:6bfo2lxh8b1DjuQvUA82fY,https://api.spotify.com/v1/tracks/6bfo2lxh8b1DjuQvUA82fY,https://api.spotify.com/v1/audio-analysis/6bfo2lxh8b1DjuQvUA82fY,258400.0,4.0,
34,34,34.0, New Mexico,Tucumcari,Coyote,Better Than Ezra,spotify:track:4nepaN1egb6j23LB39I7Rh,18,1995-02-28,,,,,,,,,,,,,,,,,,,,0.442,0.301,7.0,-11.416,1.0,0.0589,0.00644,0.00897,0.214,0.723,118.859,audio_features,4nepaN1egb6j23LB39I7Rh,spotify:track:4nepaN1egb6j23LB39I7Rh,https://api.spotify.com/v1/tracks/4nepaN1egb6j23LB39I7Rh,https://api.spotify.com/v1/audio-analysis/4nepaN1egb6j23LB39I7Rh,373560.0,4.0,
35,35,35.0, New Mexico,Tucumcari,Dead End Diner,Lost Dogs,error,error,error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36,36.0, New Mexico,Tucumcari,Goode Tennessee,Jim Post,spotify:track:08g83Vsv5SGL8NuK94JvLr,4,1997-01-01,,,,,,,,,,,,,,,,,,,,0.509,0.715,7.0,-8.885,1.0,0.0421,0.312,0.0,0.337,0.899,172.388,audio_features,08g83Vsv5SGL8NuK94JvLr,spotify:track:08g83Vsv5SGL8NuK94JvLr,https://api.spotify.com/v1/tracks/08g83Vsv5SGL8NuK94JvLr,https://api.spotify.com/v1/audio-analysis/08g83Vsv5SGL8NuK94JvLr,194533.0,4.0,
