,Unnamed: 0,state,city,song,artist,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
431,431, Louisiana,New Orleans,Mardi Gras Second Line,Rockin' Sidney,spotify:track:701SlNiXkokWtU2X1KTF6T,3,1992-11-24,0.842,0.237,9.0,-16.716,0.0,0.298,0.0308,0.0,0.0791,0.544,148.347,audio_features,701SlNiXkokWtU2X1KTF6T,spotify:track:701SlNiXkokWtU2X1KTF6T,https://api.spotify.com/v1/tracks/701SlNiXkokWtU2X1KTF6T,https://api.spotify.com/v1/audio-analysis/701SlNiXkokWtU2X1KTF6T,210348.0,4.0,
432,432, Louisiana,New Orleans,Mardi Gras Song,John Delafose,spotify:track:4Rqoh46NU1FOl8WuqJYp2u,0,1992-01-01,0.46,0.887,3.0,-8.306,1.0,0.0469,0.183,0.428,0.886,0.96,173.129,audio_features,4Rqoh46NU1FOl8WuqJYp2u,spotify:track:4Rqoh46NU1FOl8WuqJYp2u,https://api.spotify.com/v1/tracks/4Rqoh46NU1FOl8WuqJYp2u,https://api.spotify.com/v1/audio-analysis/4Rqoh46NU1FOl8WuqJYp2u,233333.0,4.0,
433,433, Louisiana,New Orleans,Mardi Gras Strut,Al Johnson,spotify:track:7MmdyIdWDoomYL0Pfod75h,3,2013-05-30,0.821,0.572,5.0,-6.808,1.0,0.0511,0.317,1.45e-05,0.294,0.839,120.042,audio_features,7MmdyIdWDoomYL0Pfod75h,spotify:track:7MmdyIdWDoomYL0Pfod75h,https://api.spotify.com/v1/tracks/7MmdyIdWDoomYL0Pfod75h,https://api.spotify.com/v1/audio-analysis/7MmdyIdWDoomYL0Pfod75h,215893.0,4.0,
434,434, Louisiana,New Orleans,Mardi Gras Time,Bayou Renegades,spotify:track:4YZbrlP49dmg8mp0tnnD7m,3,2008-01-15,0.545,0.668,10.0,-12.277,0.0,0.0559,0.0147,0.289,0.332,0.356,99.953,audio_features,4YZbrlP49dmg8mp0tnnD7m,spotify:track:4YZbrlP49dmg8mp0tnnD7m,https://api.spotify.com/v1/tracks/4YZbrlP49dmg8mp0tnnD7m,https://api.spotify.com/v1/audio-analysis/4YZbrlP49dmg8mp0tnnD7m,274253.0,4.0,
435,435, Louisiana,New Orleans,Mardi Gras Time,Timmy Dusenbery,error,error,error,,,,,,,,,,,,,,,,,,,
436,436, Louisiana,New Orleans,Mardi Gras Twist,Doris Matte,spotify:track:54RuYCgAyjFPf1xBqMMKUg,0,1963-03-22,0.8,0.817,0.0,-9.294,1.0,0.0711,0.775,0.101,0.17,0.979,113.065,audio_features,54RuYCgAyjFPf1xBqMMKUg,spotify:track:54RuYCgAyjFPf1xBqMMKUg,https://api.spotify.com/v1/tracks/54RuYCgAyjFPf1xBqMMKUg,https://api.spotify.com/v1/audio-analysis/54RuYCgAyjFPf1xBqMMKUg,79693.0,4.0,
437,437, Louisiana,New Orleans,The Mardi Gras Walking Club,Pete Fountain,spotify:track:65Puw173tQjhoR0AYcj0zt,1,2001-01-01,0.745,0.272,5.0,-14.505,1.0,0.0833,0.584,0.000373,0.103,0.804,80.283,audio_features,65Puw173tQjhoR0AYcj0zt,spotify:track:65Puw173tQjhoR0AYcj0zt,https://api.spotify.com/v1/tracks/65Puw173tQjhoR0AYcj0zt,https://api.spotify.com/v1/audio-analysis/65Puw173tQjhoR0AYcj0zt,165333.0,4.0,
438,438, Louisiana,New Orleans,Mardi Gras Waltz,Carmen Lombardo and John Jacob Loeb,spotify:track:4dnbZMManw42M6higOJlZW,0,1955,0.503,0.276,0.0,-10.369,1.0,0.0342,0.869,0.94,0.222,0.895,183.898,audio_features,4dnbZMManw42M6higOJlZW,spotify:track:4dnbZMManw42M6higOJlZW,https://api.spotify.com/v1/tracks/4dnbZMManw42M6higOJlZW,https://api.spotify.com/v1/audio-analysis/4dnbZMManw42M6higOJlZW,110800.0,3.0,
439,439, Louisiana,New Orleans,Mardi Gras Waltz,Joe Ely,spotify:track:20f4tnpcwerVWMX3CXIZr2,5,1977-01-01,0.222,0.605,2.0,-11.022,1.0,0.031,0.0824,0.199,0.333,0.718,183.815,audio_features,20f4tnpcwerVWMX3CXIZr2,spotify:track:20f4tnpcwerVWMX3CXIZr2,https://api.spotify.com/v1/tracks/20f4tnpcwerVWMX3CXIZr2,https://api.spotify.com/v1/audio-analysis/20f4tnpcwerVWMX3CXIZr2,170733.0,3.0,
440,440, Louisiana,New Orleans,Mardi Gras Zydeco,Rockin' Sidney,spotify:track:0qUw42w4XxrJ84xI8yLlLA,4,1992-11-24,0.818,0.604,0.0,-14.189,0.0,0.228,0.13,3.69e-06,0.28,0.966,152.729,audio_features,0qUw42w4XxrJ84xI8yLlLA,spotify:track:0qUw42w4XxrJ84xI8yLlLA,https://api.spotify.com/v1/tracks/0qUw42w4XxrJ84xI8yLlLA,https://api.spotify.com/v1/audio-analysis/0qUw42w4XxrJ84xI8yLlLA,220379.0,4.0,
441,441, Louisiana,New Orleans,Marie Laveau,Bob Bare,spotify:track:6yFIzIxyTVRfVeSTTvtEBt,51,1973-11-01,0.593,0.521,9.0,-10.326,1.0,0.0358,0.872,0.0,0.714,0.855,117.805,audio_features,6yFIzIxyTVRfVeSTTvtEBt,spotify:track:6yFIzIxyTVRfVeSTTvtEBt,https://api.spotify.com/v1/tracks/6yFIzIxyTVRfVeSTTvtEBt,https://api.spotify.com/v1/audio-analysis/6yFIzIxyTVRfVeSTTvtEBt,189027.0,4.0,
442,442, Louisiana,New Orleans,Matinee Hour In New Orleans,Three Clouds,error,error,error,,,,,,,,,,,,,,,,,,,
443,443, Louisiana,New Orleans,Me and Bob McGee,Janis Joplin,spotify:track:1IqFh00G2kvvMm8pRMpehA,72,1971-01-11,0.453,0.464,2.0,-10.96,1.0,0.0431,0.302,5.96e-05,0.152,0.658,93.19,audio_features,1IqFh00G2kvvMm8pRMpehA,spotify:track:1IqFh00G2kvvMm8pRMpehA,https://api.spotify.com/v1/tracks/1IqFh00G2kvvMm8pRMpehA,https://api.spotify.com/v1/audio-analysis/1IqFh00G2kvvMm8pRMpehA,271333.0,4.0,
444,444, Louisiana,New Orleans,Meet the Boys (on the Battlefront),The Wild Tchoupitoulas,spotify:track:5flhtsEZZ0ImNAtccopqpH,36,1976-01-01,0.787,0.35,1.0,-13.127,1.0,0.172,0.559,0.0001,0.0765,0.957,147.464,audio_features,5flhtsEZZ0ImNAtccopqpH,spotify:track:5flhtsEZZ0ImNAtccopqpH,https://api.spotify.com/v1/tracks/5flhtsEZZ0ImNAtccopqpH,https://api.spotify.com/v1/audio-analysis/5flhtsEZZ0ImNAtccopqpH,204867.0,4.0,
445,445, Louisiana,New Orleans,Meet Me On Frenchmen Street,Shamarr Allen,spotify:track:7ASFH7y8oRoDb3czGDVH5c,12,2008-03-20,0.511,0.846,8.0,-5.091,1.0,0.258,0.194,0.00056,0.0306,0.872,206.687,audio_features,7ASFH7y8oRoDb3czGDVH5c,spotify:track:7ASFH7y8oRoDb3czGDVH5c,https://api.spotify.com/v1/tracks/7ASFH7y8oRoDb3czGDVH5c,https://api.spotify.com/v1/audio-analysis/7ASFH7y8oRoDb3czGDVH5c,326093.0,4.0,
446,446, Louisiana,New Orleans,Meet Me On The Levee,Chris Barber,error,error,error,,,,,,,,,,,,,,,,,,,
447,447, Louisiana,New Orleans,The Mess Inside,The Mountain Goats,spotify:track:3B7a3OW9h51WJKYQXD5IAo,38,2002,0.646,0.674,7.0,-7.461,1.0,0.0458,0.874,0.0168,0.34,0.601,110.96,audio_features,3B7a3OW9h51WJKYQXD5IAo,spotify:track:3B7a3OW9h51WJKYQXD5IAo,https://api.spotify.com/v1/tracks/3B7a3OW9h51WJKYQXD5IAo,https://api.spotify.com/v1/audio-analysis/3B7a3OW9h51WJKYQXD5IAo,215587.0,4.0,
448,448, Louisiana,New Orleans,A Message To Martha,Adam Faith,spotify:track:1qjc8jh1krVr374psfIKbP,14,2003-12-08,0.52,0.287,6.0,-9.879,1.0,0.0296,0.786,0.0,0.103,0.58,89.386,audio_features,1qjc8jh1krVr374psfIKbP,spotify:track:1qjc8jh1krVr374psfIKbP,https://api.spotify.com/v1/tracks/1qjc8jh1krVr374psfIKbP,https://api.spotify.com/v1/audio-analysis/1qjc8jh1krVr374psfIKbP,190133.0,4.0,
449,449, Louisiana,New Orleans,Message To Michael,Dionne Warwick,spotify:track:4g94t2vgwZ5Dk8hvnbx2pg,30,1989,0.604,0.254,1.0,-15.298,1.0,0.0469,0.835,1.04e-06,0.796,0.633,90.609,audio_features,4g94t2vgwZ5Dk8hvnbx2pg,spotify:track:4g94t2vgwZ5Dk8hvnbx2pg,https://api.spotify.com/v1/tracks/4g94t2vgwZ5Dk8hvnbx2pg,https://api.spotify.com/v1/audio-analysis/4g94t2vgwZ5Dk8hvnbx2pg,188880.0,4.0,
450,450, Louisiana,New Orleans,MidCity Ba,The New Orleans Bingo! Show,spotify:track:3nx3VoiZHbPGEmpQKF1Lno,2,2020-07-17,0.884,0.662,1.0,-6.411,1.0,0.197,0.256,0.00433,0.113,0.954,95.99,audio_features,3nx3VoiZHbPGEmpQKF1Lno,spotify:track:3nx3VoiZHbPGEmpQKF1Lno,https://api.spotify.com/v1/tracks/3nx3VoiZHbPGEmpQKF1Lno,https://api.spotify.com/v1/audio-analysis/3nx3VoiZHbPGEmpQKF1Lno,150313.0,4.0,
451,451, Louisiana,New Orleans,Midnight In New Orleans,Earl Hines,spotify:track:6nPtHG5J35XUmR7XvqZhzn,0,2013-11-14,0.439,0.153,7.0,-13.674,1.0,0.0399,0.626,0.918,0.104,0.381,76.409,audio_features,6nPtHG5J35XUmR7XvqZhzn,spotify:track:6nPtHG5J35XUmR7XvqZhzn,https://api.spotify.com/v1/tracks/6nPtHG5J35XUmR7XvqZhzn,https://api.spotify.com/v1/audio-analysis/6nPtHG5J35XUmR7XvqZhzn,173000.0,4.0,
452,452, Louisiana,New Orleans,Milenberg Joys,Jelly Roll Morton,spotify:track:0C2LkFWPfyEqXjZhxuusac,11,1993-04-06,0.649,0.694,10.0,-11.773,1.0,0.0281,0.00678,0.433,0.327,0.652,131.059,audio_features,0C2LkFWPfyEqXjZhxuusac,spotify:track:0C2LkFWPfyEqXjZhxuusac,https://api.spotify.com/v1/tracks/0C2LkFWPfyEqXjZhxuusac,https://api.spotify.com/v1/audio-analysis/0C2LkFWPfyEqXjZhxuusac,330667.0,4.0,
453,453, Louisiana,New Orleans,Monday Night In New Orleans,Kermit Ruffins,spotify:track:0BShXUUrG6ef4AAib3z5Ld,4,1992,0.699,0.299,2.0,-14.228,0.0,0.088,0.334,0.00224,0.194,0.651,116.555,audio_features,0BShXUUrG6ef4AAib3z5Ld,spotify:track:0BShXUUrG6ef4AAib3z5Ld,https://api.spotify.com/v1/tracks/0BShXUUrG6ef4AAib3z5Ld,https://api.spotify.com/v1/audio-analysis/0BShXUUrG6ef4AAib3z5Ld,209560.0,4.0,
454,454, Louisiana,New Orleans,Moon over Bourbon Street,Sting,spotify:track:3KF1EXX2zGfVtGeZKiClB0,51,1985-01-01,0.413,0.0563,5.0,-22.264,0.0,0.041,0.67,0.000126,0.102,0.183,124.977,audio_features,3KF1EXX2zGfVtGeZKiClB0,spotify:track:3KF1EXX2zGfVtGeZKiClB0,https://api.spotify.com/v1/tracks/3KF1EXX2zGfVtGeZKiClB0,https://api.spotify.com/v1/audio-analysis/3KF1EXX2zGfVtGeZKiClB0,240307.0,4.0,
455,455, Louisiana,New Orleans,Move It,Cliff Richard with Brian May & Brian Bennett,spotify:track:6gzuPIRmowMiriGzgbLQGJ,35,2010-04-12,0.547,0.853,4.0,-5.02,1.0,0.0364,0.718,0.000256,0.33,0.942,164.279,audio_features,6gzuPIRmowMiriGzgbLQGJ,spotify:track:6gzuPIRmowMiriGzgbLQGJ,https://api.spotify.com/v1/tracks/6gzuPIRmowMiriGzgbLQGJ,https://api.spotify.com/v1/audio-analysis/6gzuPIRmowMiriGzgbLQGJ,144093.0,4.0,
456,456, Louisiana,New Orleans,Move to Louisiana,John Mooney,spotify:track:1J9ihTlF4d7DeugZwaRs4e,0,1979-05-01,0.782,0.495,0.0,-10.877,1.0,0.0401,0.682,1.84e-05,0.0874,0.963,107.964,audio_features,1J9ihTlF4d7DeugZwaRs4e,spotify:track:1J9ihTlF4d7DeugZwaRs4e,https://api.spotify.com/v1/tracks/1J9ihTlF4d7DeugZwaRs4e,https://api.spotify.com/v1/audio-analysis/1J9ihTlF4d7DeugZwaRs4e,149707.0,4.0,
457,457, Louisiana,New Orleans,Mr. Bojangles,"Jerry Jeff Walker, made popular  The Nitty Gritty Dirt Band",spotify:track:51DLN9R1dIqkKnlRsz1kpg,51,1968,0.427,0.0801,2.0,-27.119,1.0,0.0372,0.748,0.51,0.125,0.78,168.418,audio_features,51DLN9R1dIqkKnlRsz1kpg,spotify:track:51DLN9R1dIqkKnlRsz1kpg,https://api.spotify.com/v1/tracks/51DLN9R1dIqkKnlRsz1kpg,https://api.spotify.com/v1/audio-analysis/51DLN9R1dIqkKnlRsz1kpg,328147.0,3.0,
458,458, Louisiana,New Orleans,Mr. Mardi Gras,Allen Toussaint,spotify:track:1qYhPVPLdpnmB7Zyx5Gpvv,4,2009-01-01,0.723,0.747,0.0,-8.936,1.0,0.13,0.0242,0.0301,0.048,0.82,195.196,audio_features,1qYhPVPLdpnmB7Zyx5Gpvv,spotify:track:1qYhPVPLdpnmB7Zyx5Gpvv,https://api.spotify.com/v1/tracks/1qYhPVPLdpnmB7Zyx5Gpvv,https://api.spotify.com/v1/audio-analysis/1qYhPVPLdpnmB7Zyx5Gpvv,250533.0,4.0,
