,song_state,song_artist,song_name,uris,duration_ms,popularity,date
88,New York,Public Enemy,A Letter to the New York Post,spotify:track:5XnTUZ7g2XsyyVu8ScI26y,165200,22,1991-10-01
89,New York,Boogie Down Productions,100 Guns,spotify:track:0YFSnzMlBozhKtGTu0GdiE,237906,18,1990-07-17
90,New York,Barry Manilow,New York City Rhythm,spotify:track:6VjbV77jF8A05lJ7ZDSbme,284640,18,1975
91,New York,Gazoline,New York,spotify:track:412KEBXkzgSGirZ3pi11MF,208360,2,2016-08-12
92,New York,The Strokes,New York City Cops,spotify:track:5g4cz7u4MrUTKDdo1TmABo,211360,44,2002-04-30
93,New York,Radio Elvis,New York,spotify:track:2r4bSCAiRsWmXBotPzMiex,257546,17,2018-11-09
94,New York,Gang Starr,New York Strait Talk,spotify:track:4kWm53cikiksuB6TaPzhyF,254466,32,1998-03-31
95,New York,Lenny Kravitz,New York City,spotify:track:37jBx9nJ0XBg9rCtrkTI4D,382734,46,2014-09-23
96,New York,Lou Reed,NYC Man,spotify:track:1N2LeDF1hrmSVm64QJVaEL,296053,22,1996-02-16
97,New York,Madeline Juno,New York,spotify:track:2vSSH0qMNoUN7xl78KavC7,193654,32,2019-09-06
98,New York,Modern Talking,New York City Girl,spotify:track:4LN1AFcbxid1gLF18Nukk8,207733,11,2001-03-13
99,New York,Nas,The Cross [Dvd],error,error,error,error
100,New York,Nas,The Cross,spotify:track:6e7n5KKbHZppGDSh4bQqsP,227960,36,2002-12-13
101,New York,Grandmaster Flash & the Furious Five,"New York, New York",spotify:track:6mSDUgdET1SWzDIWRB61Yv,446440,12,1997
102,New York,Madonna,I Love New York,spotify:track:44WTY1d9M86PEAgPZNeHHe,275360,45,2005-11-11
103,New York,Michael Feinstein,"New York, New York",spotify:track:7xhIGBPBzaTdIyMOnRQCO8,218800,0,1999-01-01
104,New York,The Hi-Lo's,Autumn in New York,spotify:track:2HPZcoyydE1pV4e4wjRa0v,218853,17,2019-06-07
105,New York,The Lonely Island,I Run NY,spotify:track:5vWyrbiq1bZ0g7BkgJhsRq,184733,39,2013-01-01
106,New York,The Lonely Island,I'm A Hustler [Song?],spotify:track:1FNtmNa65tWSzfW5WTnmod,80306,23,2013-01-01
107,New York,Andy Mineo,Uptown,spotify:track:37oSYQyErcPJqxIw0H9j5l,234787,37,2015-09-18
108,New York,Eminem,NYC Where I'm From,error,error,error,error
109,New York,Old Dominion,New York at Night,spotify:track:1AETvuSzlhLT7uasHHmGvI,214933,47,2017-08-25
110,New York,Paloma Faith,New York,spotify:track:0Xy0S3KxaK0IcJHgryZr0h,219760,48,2009-09-24
111,New York,Billie Holiday,Autumn In New York,spotify:track:6o5RbQYhmF4yRRw7ZArxGL,224333,50,1956-01-01
112,New York,Diane Schuur,New York State of Mind,spotify:track:5zOnWfbY8GzSjYZfgIDUZx,320026,21,1984-01-01
113,New York,Keely Smith,"New York, New York",spotify:track:5Xjcst6Rle74VteHx0zczO,489453,57,2012-11-20
114,New York,Bob Dylan,Hard Times in New York Town [Live],error,error,error,error
115,New York,Bob Dylan,Hard Times in New York Town,spotify:track:1K0D9hPFpSBpuWZfCdZ9kE,137266,28,1991-03-26
116,New York,Sting,Englishman In New York,spotify:track:4KFM3A5QF2IMcc6nHsu3Wp,267266,71,1987-01-01
117,New York,Lou Reed,Follow the Leader,spotify:track:6leoLy9NjisHCiw6JRJxbm,132413,15,1976-10-01
118,New York,Pet Shop Boys,New York City Boy [Album Version],error,error,error,error
119,New York,B.J. Thomas,The Eyes of a New York Woman,spotify:track:3egChKZ4fIbZpiL98dx49h,183240,21,2005
120,New York,Pet Shop Boys,New York City Boy,spotify:track:7KeoeLwqtTIIgeHkvgxkeT,315280,44,1999-10-08
121,New York,U.R.R,I'm From New York,spotify:track:4T4RGgFm49926mZAIsElNX,278546,9,2002-01-17
122,New York,Dido,New York,spotify:track:4pKprGVmOTEBMxcmZifAQk,242880,12,2008-11-06
123,New York,Dillinger,Cocaine In My Brain,spotify:track:2Ykl0Rx2vw6rRBkTnrxOC7,308639,41,2006-08-24
124,New York,Rakim,Strong Island,spotify:track:6g5Ei8IegcBvM2ro0dU916,273506,25,1999-01-01
125,New York,Dave East,Cut From A Different Cloth,spotify:track:2zhc9K5lPwa40fZHrpAlUt,188453,32,2018-10-05
