,Unnamed: 0,city,state,artist,song,uris,popularity,date,error,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
277,277,Davenport,Iowa,Johnny Cash,Big River,spotify:track:6tSlcd8gcp3XGstYNhL3It,54,2014-01-15,,0.632,0.559,5.0,-10.49,1.0,0.0674,0.854,0.000103,0.127,0.884,182.942,audio_features,6tSlcd8gcp3XGstYNhL3It,spotify:track:6tSlcd8gcp3XGstYNhL3It,https://api.spotify.com/v1/tracks/6tSlcd8gcp3XGstYNhL3It,https://api.spotify.com/v1/audio-analysis/6tSlcd8gcp3XGstYNhL3It,151427.0,4.0
278,278,Davenport,Iowa,Johnny Cash,Big River,spotify:track:6tSlcd8gcp3XGstYNhL3It,54,2014-01-15,,0.632,0.559,5.0,-10.49,1.0,0.0674,0.854,0.000103,0.127,0.884,182.942,audio_features,6tSlcd8gcp3XGstYNhL3It,spotify:track:6tSlcd8gcp3XGstYNhL3It,https://api.spotify.com/v1/tracks/6tSlcd8gcp3XGstYNhL3It,https://api.spotify.com/v1/audio-analysis/6tSlcd8gcp3XGstYNhL3It,151427.0,4.0
279,279,Davenport,Iowa,Lynn Anderson,I've Been Everywhere,spotify:track:4MqcS6CT8SO8moKoxAzrDp,29,2008-01-08,,0.592,0.92,2.0,-5.022,1.0,0.216,0.446,0.0,0.971,0.68,112.494,audio_features,4MqcS6CT8SO8moKoxAzrDp,spotify:track:4MqcS6CT8SO8moKoxAzrDp,https://api.spotify.com/v1/tracks/4MqcS6CT8SO8moKoxAzrDp,https://api.spotify.com/v1/audio-analysis/4MqcS6CT8SO8moKoxAzrDp,135400.0,4.0
280,280,Davenport,Iowa,Johnny Cash,Big River [Live; Previously Unreleased Track; Bonus Track],error,error,error,,,,,,,,,,,,,,,,,,,
281,281,Davenport,Iowa,George Jones,Comments By: Tommy Cash/Tim Robbins,error,error,error,,,,,,,,,,,,,,,,,,,
282,282,Davenport,Iowa,Johnny Cash,I've Been Everywhere,spotify:track:59J3FhCGYl18G3ouDReUge,58,1996-01-01,,0.731,0.779,11.0,-5.884,0.0,0.0658,0.6,1.74e-06,0.312,0.817,112.2,audio_features,59J3FhCGYl18G3ouDReUge,spotify:track:59J3FhCGYl18G3ouDReUge,https://api.spotify.com/v1/tracks/59J3FhCGYl18G3ouDReUge,https://api.spotify.com/v1/audio-analysis/59J3FhCGYl18G3ouDReUge,196733.0,4.0
283,283,Davenport,Iowa,Johnny Cash,I've Been Everywhere,spotify:track:59J3FhCGYl18G3ouDReUge,58,1996-01-01,,0.731,0.779,11.0,-5.884,0.0,0.0658,0.6,1.74e-06,0.312,0.817,112.2,audio_features,59J3FhCGYl18G3ouDReUge,spotify:track:59J3FhCGYl18G3ouDReUge,https://api.spotify.com/v1/tracks/59J3FhCGYl18G3ouDReUge,https://api.spotify.com/v1/audio-analysis/59J3FhCGYl18G3ouDReUge,196733.0,4.0
284,284,Davenport,Iowa,Johnny Cash,Big River [Studio Outtake],error,error,error,,,,,,,,,,,,,,,,,,,
285,285,Davenport,Iowa,Johnny Cash,Big River,spotify:track:6tSlcd8gcp3XGstYNhL3It,54,2014-01-15,,0.632,0.559,5.0,-10.49,1.0,0.0674,0.854,0.000103,0.127,0.884,182.942,audio_features,6tSlcd8gcp3XGstYNhL3It,spotify:track:6tSlcd8gcp3XGstYNhL3It,https://api.spotify.com/v1/tracks/6tSlcd8gcp3XGstYNhL3It,https://api.spotify.com/v1/audio-analysis/6tSlcd8gcp3XGstYNhL3It,151427.0,4.0
286,286,Davenport,Iowa,Johnny Cash,Big River [Live],spotify:track:4BDHIpKyhoccMFODzB3mZC,26,1969-06-05,,0.59,0.777,0.0,-8.758,1.0,0.148,0.632,0.0,0.974,0.946,121.115,audio_features,4BDHIpKyhoccMFODzB3mZC,spotify:track:4BDHIpKyhoccMFODzB3mZC,https://api.spotify.com/v1/tracks/4BDHIpKyhoccMFODzB3mZC,https://api.spotify.com/v1/audio-analysis/4BDHIpKyhoccMFODzB3mZC,103307.0,4.0
