,Unnamed: 0,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error,error.status,error.message
2098,2098,Carolina,Puerto Rico,O-Tones,Dinah,spotify:track:56UygWx97CtFb3DObTMxwy,0,1999-08-31,0.769,0.197,0.0,-10.903,1.0,0.396,0.792,0.0,0.234,0.603,98.139,audio_features,56UygWx97CtFb3DObTMxwy,spotify:track:56UygWx97CtFb3DObTMxwy,https://api.spotify.com/v1/tracks/56UygWx97CtFb3DObTMxwy,https://api.spotify.com/v1/audio-analysis/56UygWx97CtFb3DObTMxwy,57520.0,4.0,,,
2099,2099,Carolina,Puerto Rico,Charleston,Dinah,spotify:track:3ga4PIW0bqiz6l84p6MTLb,0,2010-12-10,0.588,0.213,3.0,-15.255,0.0,0.0681,0.995,0.621,0.146,0.533,113.404,audio_features,3ga4PIW0bqiz6l84p6MTLb,spotify:track:3ga4PIW0bqiz6l84p6MTLb,https://api.spotify.com/v1/tracks/3ga4PIW0bqiz6l84p6MTLb,https://api.spotify.com/v1/audio-analysis/3ga4PIW0bqiz6l84p6MTLb,185947.0,4.0,,,
2100,2100,Carolina,Puerto Rico,Billy Cotton,Dinah,spotify:track:1gOjJVaQ6BOmVK3Pkd4rZC,0,2000,0.611,0.372,8.0,-13.233,1.0,0.208,0.931,0.171,0.121,0.876,175.522,audio_features,1gOjJVaQ6BOmVK3Pkd4rZC,spotify:track:1gOjJVaQ6BOmVK3Pkd4rZC,https://api.spotify.com/v1/tracks/1gOjJVaQ6BOmVK3Pkd4rZC,https://api.spotify.com/v1/audio-analysis/1gOjJVaQ6BOmVK3Pkd4rZC,180800.0,4.0,,,
2101,2101,Carolina,Puerto Rico,Ulf Linde,Dinah,spotify:track:1XS9INp6hJLBJR8c8ADXII,0,2014-09-08,0.621,0.43,8.0,-11.84,1.0,0.0632,0.951,0.0219,0.45,0.858,183.363,audio_features,1XS9INp6hJLBJR8c8ADXII,spotify:track:1XS9INp6hJLBJR8c8ADXII,https://api.spotify.com/v1/tracks/1XS9INp6hJLBJR8c8ADXII,https://api.spotify.com/v1/audio-analysis/1XS9INp6hJLBJR8c8ADXII,172200.0,4.0,,,
2102,2102,Carolina,Puerto Rico,Bill Allred,Dinah,spotify:track:7mLHcKs5NKMyirjX8ujp10,0,1996,0.638,0.352,8.0,-17.126,1.0,0.0516,0.561,0.757,0.0821,0.858,124.289,audio_features,7mLHcKs5NKMyirjX8ujp10,spotify:track:7mLHcKs5NKMyirjX8ujp10,https://api.spotify.com/v1/tracks/7mLHcKs5NKMyirjX8ujp10,https://api.spotify.com/v1/audio-analysis/7mLHcKs5NKMyirjX8ujp10,315907.0,4.0,,,
2103,2103,Carolina,Puerto Rico,Johnie Faren & the Orient Jazz Express,Dinah,spotify:track:1XS5vGKquDNjxU6gLQcKd2,42,1964,0.539,0.297,5.0,-10.684,0.0,0.0715,0.969,0.833,0.0686,0.609,171.123,audio_features,1XS5vGKquDNjxU6gLQcKd2,spotify:track:1XS5vGKquDNjxU6gLQcKd2,https://api.spotify.com/v1/tracks/1XS5vGKquDNjxU6gLQcKd2,https://api.spotify.com/v1/audio-analysis/1XS5vGKquDNjxU6gLQcKd2,148933.0,3.0,,,
2104,2104,Carolina,Puerto Rico,Crazy Rhythm Hot Society Orchestra,Dinah,spotify:track:6yxS3uqYdbA9TjoszqDIyc,25,1955-06-19,0.515,0.129,0.0,-17.352,1.0,0.115,0.929,0.000278,0.701,0.306,115.649,audio_features,6yxS3uqYdbA9TjoszqDIyc,spotify:track:6yxS3uqYdbA9TjoszqDIyc,https://api.spotify.com/v1/tracks/6yxS3uqYdbA9TjoszqDIyc,https://api.spotify.com/v1/audio-analysis/6yxS3uqYdbA9TjoszqDIyc,287067.0,4.0,,,
2105,2105,Carolina,Puerto Rico,Saint-Granier,Dinah,error,error,error,,,,,,,,,,,,,,,,,,,,,
2106,2106,Carolina,Puerto Rico,Jimmy Mazzy,Dinah,spotify:track:433l632DakzariVglbk3Fp,22,2011-07-01,0.697,0.203,3.0,-13.88,1.0,0.0507,0.817,0.0037,0.0626,0.792,138.824,audio_features,433l632DakzariVglbk3Fp,spotify:track:433l632DakzariVglbk3Fp,https://api.spotify.com/v1/tracks/433l632DakzariVglbk3Fp,https://api.spotify.com/v1/audio-analysis/433l632DakzariVglbk3Fp,174987.0,3.0,,,
2107,2107,Carolina,Puerto Rico,Alfredo de Pelo,Dinah,error,error,error,,,,,,,,,,,,,,,,,,,,,
