,Unnamed: 0,city,state,artist,song,uris,popularity,date,error,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
3846,3846,Reading,Pennsylvania,"Mike Fresh, Genius",Make It Look Easy,spotify:track:4A9kzjYEbHWdXgkuvy437B,17,2017-01-13,,0.943,0.762,11.0,-5.068,1.0,0.104,0.216,0.00334,0.0972,0.55,123.03,audio_features,4A9kzjYEbHWdXgkuvy437B,spotify:track:4A9kzjYEbHWdXgkuvy437B,https://api.spotify.com/v1/tracks/4A9kzjYEbHWdXgkuvy437B,https://api.spotify.com/v1/audio-analysis/4A9kzjYEbHWdXgkuvy437B,175610.0,4.0
3847,3847,Reading,Pennsylvania,Konata Small,Hold Some,spotify:track:15mUecHjMY7oYo4tiaZJaX,10,2017-06-16,,0.686,0.623,1.0,-7.612,0.0,0.294,0.166,0.0,0.143,0.274,160.559,audio_features,15mUecHjMY7oYo4tiaZJaX,spotify:track:15mUecHjMY7oYo4tiaZJaX,https://api.spotify.com/v1/tracks/15mUecHjMY7oYo4tiaZJaX,https://api.spotify.com/v1/audio-analysis/15mUecHjMY7oYo4tiaZJaX,279131.0,3.0
3848,3848,Reading,Pennsylvania,Blessed,Thought,spotify:track:16WofXJrI3GFtEQEq8zCMA,27,2020-06-30,,0.805,0.461,6.0,-10.178,1.0,0.0858,0.252,0.908,0.0941,0.701,118.055,audio_features,16WofXJrI3GFtEQEq8zCMA,spotify:track:16WofXJrI3GFtEQEq8zCMA,https://api.spotify.com/v1/tracks/16WofXJrI3GFtEQEq8zCMA,https://api.spotify.com/v1/audio-analysis/16WofXJrI3GFtEQEq8zCMA,195253.0,4.0
3849,3849,Reading,Pennsylvania,Samia,Paris,spotify:track:5tJyCOoPuQ7bwXoD6FawWc,47,2019-01-29,,0.477,0.108,4.0,-16.484,0.0,0.0446,0.978,0.000754,0.153,0.242,118.855,audio_features,5tJyCOoPuQ7bwXoD6FawWc,spotify:track:5tJyCOoPuQ7bwXoD6FawWc,https://api.spotify.com/v1/tracks/5tJyCOoPuQ7bwXoD6FawWc,https://api.spotify.com/v1/audio-analysis/5tJyCOoPuQ7bwXoD6FawWc,200092.0,4.0
3850,3850,Reading,Pennsylvania,Apathy,Tape Money,spotify:track:07qwBwfMKgdcgOIHZmfGTW,14,2019-02-12,,0.566,0.792,2.0,-9.258,1.0,0.456,0.421,0.0,0.371,0.655,148.392,audio_features,07qwBwfMKgdcgOIHZmfGTW,spotify:track:07qwBwfMKgdcgOIHZmfGTW,https://api.spotify.com/v1/tracks/07qwBwfMKgdcgOIHZmfGTW,https://api.spotify.com/v1/audio-analysis/07qwBwfMKgdcgOIHZmfGTW,177162.0,4.0
3851,3851,Reading,Pennsylvania,Coucheron,Warrior,spotify:track:4dVuxaj9278T0Md4UUtkUY,33,2019-04-05,,0.592,0.5,10.0,-8.789,0.0,0.178,0.482,9.85e-05,0.102,0.81,181.484,audio_features,4dVuxaj9278T0Md4UUtkUY,spotify:track:4dVuxaj9278T0Md4UUtkUY,https://api.spotify.com/v1/tracks/4dVuxaj9278T0Md4UUtkUY,https://api.spotify.com/v1/audio-analysis/4dVuxaj9278T0Md4UUtkUY,204725.0,4.0
3852,3852,Reading,Pennsylvania,"Scubba, Dinah York",Stronger Than Me,spotify:track:7aSwJEDsEl3Kw8SplZ7cf1,21,2019-03-08,,0.606,0.477,5.0,-13.273,0.0,0.245,0.381,9.22e-06,0.0714,0.68,179.929,audio_features,7aSwJEDsEl3Kw8SplZ7cf1,spotify:track:7aSwJEDsEl3Kw8SplZ7cf1,https://api.spotify.com/v1/tracks/7aSwJEDsEl3Kw8SplZ7cf1,https://api.spotify.com/v1/audio-analysis/7aSwJEDsEl3Kw8SplZ7cf1,205680.0,4.0
3853,3853,Reading,Pennsylvania,Household Names,Run Home,spotify:track:24hF6sHnJ7bM5qwSW0nY3P,0,2020-05-01,,0.507,0.945,4.0,-4.6,1.0,0.0345,0.0296,0.0451,0.132,0.842,142.031,audio_features,24hF6sHnJ7bM5qwSW0nY3P,spotify:track:24hF6sHnJ7bM5qwSW0nY3P,https://api.spotify.com/v1/tracks/24hF6sHnJ7bM5qwSW0nY3P,https://api.spotify.com/v1/audio-analysis/24hF6sHnJ7bM5qwSW0nY3P,229000.0,4.0
3854,3854,Reading,Pennsylvania,Klashnekoff,Stay Wise (feat. K9 & Ricko Capito),spotify:track:6TzuSeAyvUltUsBP6UU8EV,13,2019-11-08,,0.673,0.609,8.0,-7.83,0.0,0.27,0.468,0.0,0.108,0.355,89.908,audio_features,6TzuSeAyvUltUsBP6UU8EV,spotify:track:6TzuSeAyvUltUsBP6UU8EV,https://api.spotify.com/v1/tracks/6TzuSeAyvUltUsBP6UU8EV,https://api.spotify.com/v1/audio-analysis/6TzuSeAyvUltUsBP6UU8EV,257219.0,4.0
3855,3855,Reading,Pennsylvania,Midtown,Never Give All the Heart,spotify:track:6kfWTGR1Ts4PTPsQkfyCRK,9,2020-01-09,,0.254,0.0777,7.0,-9.574,1.0,0.0389,0.876,0.0,0.124,0.0636,171.796,audio_features,6kfWTGR1Ts4PTPsQkfyCRK,spotify:track:6kfWTGR1Ts4PTPsQkfyCRK,https://api.spotify.com/v1/tracks/6kfWTGR1Ts4PTPsQkfyCRK,https://api.spotify.com/v1/audio-analysis/6kfWTGR1Ts4PTPsQkfyCRK,299387.0,4.0
