state,city,song,artist,uris,duration_ms,popularity,date
Ohio,Cleveland,Cleveland,All-Time Quarterback,spotify:track:6HPqL1PrPMzCBvFh0UzFf3,138293,11,2002
Ohio,Cleveland,Cleveland,Machine Gun Kelly,spotify:track:177SDvvczaQbTb32hX9dGm,227960,24,2012
Ohio,Cleveland,Cleveland is the Reason,Kid Cudi,error,227960,24,2012
Ohio,Cleveland,Cleveland Ohio Blues,Bull Moose Jackson,spotify:track:2v89oXCsOuBmZcrrjjskLZ,177880,6,2009-01-01
Ohio,Cleveland,Cleveland Rocks,Ian Hunter,spotify:track:5FBIJ3i1CWaZLf1VTNIh7B,228720,33,1979-03-27
Ohio,Cleveland,Cuyahoga,REM,spotify:track:62BwRNlV4Xpel5ssYVLs56,261399,33,1986-07-28
Ohio,Cleveland,East 1999,Bone Thugs-N-Harmony,spotify:track:55RXcZ0Mpwt97vj2Angnn1,261773,52,1995-07-25
Ohio,Cleveland,In the Heartland,the Michael Stanley Band,spotify:track:5v1uTDwk4E70I4NBB6ARk4,212866,16,1981
Ohio,Cleveland,Let's Get Wrecked,honeyhoney,spotify:track:17zjFQ422j8eYnXZKKecq7,188293,27,2011-10-24
Ohio,Cleveland,Let's Move to Cleveland,Frank Zappa,spotify:track:2rJbB8GqSGIsuYPJZcHbFN,351946,15,1991-04-16
Ohio,Cleveland,"Look Out, Cleveland",The Band,spotify:track:5V8dAhVh2tTw8Dvaf7I7NG,189800,33,1969-09-22
Ohio,Cleveland,Mean Night in Cleveland,Cactus,spotify:track:0Wq6nBQhcHOQGjjEYa9ilW,130453,12,1971
Ohio,Cleveland,Missing Cleveland,Scott Weiland,spotify:track:1DllSr1QGkvGHhyHEnKsBt,542613,26,2004-09-28
Ohio,Cleveland,My Town,Michael Stanley Band,spotify:track:3zh6c0CVMcBdIdXfN5wDLM,236400,27,1983
Ohio,Cleveland,Ohio (Come Back to Texas),Bowling for Soup,spotify:track:4COleG16xBCkpofKHsJU2p,230560,53,2004
Ohio,Cleveland,Pancho and Lefty,"Townes Van Zandt, covered  Willie Nelson and Merle Haggard",spotify:track:2hckAvL66faAcR0Fk64hj6,287626,60,1981
Ohio,Cleveland,Precious,The Pretenders,spotify:track:5JPVMGYrYNhTJhWwHJzTMH,217506,22,2008-09-23
Ohio,Cleveland,Skinny Little Boy from Cleveland,Alex Bevan,error,217506,22,2008-09-23
Ohio,Cleveland,Stairway To Cleveland,Jefferson Starship,spotify:track:53jGqXa8YCTmJ6O6kODo4z,240346,17,1981-04-02
Ohio,Cleveland,Till I Die,Machine Gun Kelly,spotify:track:7rq7HvZrCie7MmiGm8pUVC,212213,66,2015-10-16
Idaho,Coeur d'Alene,All I Left Behind,Linda Ronstadt and Emmylou Harris,spotify:track:7bNWLWxLncAIaCO4fvyK9a,161007,25,2019-06-06
