song_state,song_artist,song_name
New York,Steve Earle,N.Y.C.
New York,Tiny Tim,"New York, New York"
New York,Doves,N.Y.
New York,Carmen McRae,New York State of Mind
New York,Raekwon,King of New York
New York,Rancid,Coppers
New York,The Reverend Horton Heat,New York City Girls
New York,Jamie Foxx,"The City's Yours (for the 2014 film ""Annie"")"
New York,Johnny Mathis,New York State of Mind
New York,David,"New York, New York"
New York,Carlos Santana,Three Nights in Rio
New York,Jazmine Sullivan,World Tour
New York,Yoko Ono,New York Woman
New York,Ray LaMontagne,New York City's Killing Me
New York,Jeff Healey,Autumn in New York
New York,Rob Thomas,A New York Christmas
New York,BOØWY,No N.Y.
New York,Kendall,New York City
New York,Mel Tormé,New York State of Mind
New York,The Manhattan Transfer,Boy from New York City
New York,Bob Dylan,Talkin' New York
New York,Trey Songz,Love Around the World
New York,Chicago,Another Rainy Day In New York City
New York,Interpol,NYC
New York,Tony Yayo,NY NY
New York,Corinne Bailey Rae,Paris Nights/New York Mornings
New York,RZA,King of New York
New York,Pitbull,International Love
New York,The Game,"New York, New York"
New York,The Trammps,Night the Lights Went Out
New York,The Trammps,The Night the Lights Went Out
New York,Sogdee,Planet N.Y.
New York,Dean Martin,Every Street's a Boulevard in Old New York
New York,Maroon 5,Chilly Winter [Demo]
New York,Willie Nile,Streets of New York
New York,Nino Ferrer,NEW YORK
New York,Juju,New York New York
New York,Joe Tex,One Monkey Don't Stop No Show
New York,Graham Parker,New York Shuffle
New York,Restless Heart,New York (Hold Her Tight)
New York,They Might Be Giants,New York City
New York,Ph Electro,Englishman In New York
New York,Onyx,Walk in New York
New York,Talib Kweli,Country Cousins
New York,Frank Sinatra,Autumn In New York [Live]
New York,Bay City Rollers,Another Rainy Day in New York City
New York,Kiss,New York Groove [Live Largo 1979]
New York,Barry Manilow,Arthur's Theme (Best That You Can Do)
New York,N'Klabe,I Love Salsa!
New York,Cat Power,New York
New York,Sheila Jordan,Autumn in New York
New York,Ernestine Anderson,Autumn in New York
New York,The Manhattan Transfer,Boy from New York City [DVD]
New York,Plies,Awesome
New York,Shirley Horn,Sunday in New York
New York,Boz Scaggs,Do Like You Do in New York
New York,Graham Parker,The New York Shuffle
New York,The Undead,My Kinda Town
New York,"Young Thug, Trey Songz, Chris Brown",Dat Night
New York,Blackbear,NYLA
New York,Raekwon,Live from New York
New York,Lea Michele,Christmas in New York
New York,Patsy Gallant,From New York to L.A.
New York,Esther Phillips,Native New Yorker
New York,Stone Temple Pilots,Art School Girl
New York,Brian Kennedy,New York
New York,Augustana,Hotel Roosevelt
New York,Marc Drouin,Para-New York
New York,Dawn Jameson,New York City
New York,The Knocks,New York Luau
New York,Billie Jo Spears,"Mr. Walker, It's All Over"
New York,Navii,New York 90
New York,Kevin Johansen,New York Without You
New York,White Lies,Tokyo
New York,"A Boogie wit da Hoodie, Pop Smoke",Hello
New York,Angels of Light,New York Girls
New York,Christopher Jackson,Alexander Hamilton
New York,Ezra Koenig,New Dorp. New York.
New York,M.O.P.,New York Salute
New York,Blondie,Jet Boy
New York,The Statler Brothers,New York City
New York,Bryan Lanning,NYC
New York,福原美穂,Englishman in New York
New York,Josh Joplin,Empire State
New York,Ben Lee,Grammercy Park Hotel
New York,Matt White,New York Girls
New York,Le Butcherettes,New York
New York,"Kanye West, Estelle",American Boy
New York,"Kanye West, Estelle, DJ Rashad",American Boy
New York,Oscar Peterson,Autumn in New York
New York,Ernestine Anderson,Sunday in New York
New York,Harry Nilsson,I Guess the Lord Must Be in New York City
New York,New York Dolls,Jet Boy
New York,New York Dolls,Jet Boy [Live]
New York,Triumph,"New York City Streets, Pt. 2"
New York,Eskimo Joe,New York
New York,Ex:Re,New York
New York,Fabolous,So NY
New York,Blossom Dearie,Autumn In New York
New York,Rakim,New York (Ya Out There)
New York,R.E.M.,Leaving New York
New York,Crazy Horse,This Land Is Your Land
New York,50 Cent,Rotten Apple
New York,Jeri Southern,Autumn in New York
New York,Caterina Valente,Autumn in New York
New York,Vampire Weekend,"Jerusalem, New York, Berlin"
New York,Charli XCX,anthems
New York,Capone-N-Noreaga,"Blood Money, Pt. 3"
New York,Capone-N-Noreaga,Blood Money (Part 3)
New York,Ozark Mountain Daredevils,New York
New York,Glee,New York State of Mind
New York,glee cast,New York State of Mind
New York,Ja Rule,New York
New York,Rita Ora,NY Raining
New York,Patty Larkin,Beg to Differ
New York,The Fall,Jet Boy [Live]
New York,Paul van Dyk,New York City
New York,Raekwon,Mean Streets
New York,Jay-Z,Brooklyn
New York,Rodney O,Wake Up New York
New York,Matt Mays,NYC Girls
New York,Kidz Bop Kids,American Boy
New York,Meek Mill,1000 Nights
New York,Company Flow,Vital Nerve
New York,The National,So Far Around the Bend
New York,Trash Boy,Fuck New York
New York,Teddi King,Autumn in New York
New York,Young Jeezy,Balcony
New York,The Ad Libs,The Boy from New York City
New York,Geneviève Bilodeau,Canard à New York
New York,Jim Croce,Country Girl
New York,Kool Keith,New York City
New York,Fink,See It All
New York,Sinéad O'Connor,I Guess the Lord Must Be in New York City
New York,Acker Bilk & His Paramount Jazz Band,Arthur's Theme (Best That You Can Do)
New York,John Waite,NYC Girl
New York,"Clinton Cerejo, Swanand Kirkire, Bianca Gomes",Manhattan
New York,Francis Dunnery,Only New York Going On
New York,Robin Gibb,Another Lonely Night in New York
New York,Fat Joe,"New York, NY"
New York,"Crazy Horse, Neil Young, Neil Young & Crazy Horse",This Land Is Your Land
New York,Foetus,New York or Bust!
New York,Bellowhead,New York Girls
New York,Sonny Stitt,Autumn in New York
New York,Richie Cole,Sunday in New York
New York,Richard Ashcroft,New York
New York,Londonbeat,9AM [Live]
New York,Royal Flush,Worldwide
New York,Delbert McClinton,New York City
New York,Looper,New York Snow
New York,John Barrowman,I Happen to Like New York
New York,Statik Selektah,Central Bookings
New York,Billie Jo Spears,Mr. Walker It's All Over
New York,the telephones,New York City
New York,Jon Bellion,Jungle
New York,Fat Joe,New York New York
New York,Elbow,New York Morning
New York,Morningwood,New York Girls
New York,Louise,New York Moon
New York,Tyrone Wells,Dream Like New York
New York,Damien Dempsey,Apple of My Eye
New York,Simon & Garfunkel,The Only Living Boy in New York
New York,Mississippi John Hurt,Avalon Blues
New York,moe.,New York City
New York,Hanoi Rocks,New York City
New York,Mireille Mathieu,"New-York, New-York"
New York,D'Arcy,I Happen to Like New York
New York,Ermal Meta,New York
New York,The Knocks,New York Narcotic
New York,The Flirtations,Boy from New York City
New York,Fitz & the Tantrums,Arthur's Theme (Best That You Can Do)
New York,Barry Manilow,New York City Rhythm [Live]
New York,Bon Jovi,Raise Your Hands
New York,GZA,Highway Robbery
New York,Kid Rock,New York's Not My Home
New York,Masterminds,Bring It Back
New York,Sportfreunde Stiller,"New York, Rio, Rosenheim"
New York,Pop Smoke,Gangstas
New York,DOOMSTARKS,Lively Hood
New York,GINKGOA,DE NEW YORK A PARIS
New York,吉川 晃司,Baby New York
New York,James Brown,Down and Out in New York City [From Black Caesar]
New York,Pete Seeger,This Land Is Your Land
New York,James Brown,Down and Out in New York City
New York,LL Cool J,Jingling Baby
New York,Beastie Boys,B-Boy Bouillabaisse
New York,Paul Simon,Paranoia Blues
New York,Rosemary Clooney,Do You Miss New York?
New York,Tom Waits,I'll Take New York
New York,Spoon,New York Kiss
New York,James Brown,Down and Out in New York City [Version with Spoken Intro; Previously Unreleased Track]
New York,Lou Reed,Mistrial
New York,Grateful Dead,Sidewalks of New York
New York,"Peter, Paul and Mary",This Land Is Your Land
New York,"Peter, Paul and Mary",This Land is Your Land
New York,Ronna,New York Rain
New York,Planet Funk,Who Said
New York,Beastie Boys,Oh Word?
New York,Mel Tormé,Sidewalks of New York
New York,Josh Groban,Bells of New York City
New York,Billy Childs,New York Tendaberry
New York,Jay-Z,Takeover
New York,Fat Joe,Preacher on a Sunday Morning
New York,Daryl Hall,NYCNY
New York,Masta Ace,Saturday Nite Live
New York,Sybersound,Native New Yorker
