state,city,song,artist
 Mississippi,Laurel,Goin' Down to Laurel,  Steve Forbert
 Nebraska,Lincoln,The Flight:Lincoln to Minneapolis ,  Blue October
 Arkansas,Little Rock,A Little Past Little Rock,  Lee Ann Womack
 Arkansas,Little Rock,I Hear Little Rock Calling,  Ferlin Husky
 Arkansas,Little Rock,Little Rock,  Collin Raye
 Arkansas,Little Rock,Little Rock,  Reba McEntire
 Arkansas,Little Rock,Two Little Girls From Little Rock,  Marilyn Monroe
 Kentucky,Louisville,Home Away from Home,  Pokey LaFarge
 Kentucky,Louisville,Flora,"  Peter, Paul and Mary"
 Kentucky,Louisville,Louisville K-Y,  Ella Fitzgerald
 Texas,Lubbock,Going to Lubbock,  The Extra Lens
 Texas,Lubbock,Lubbock Or Leave It,  Dixie Chicks
 Texas,Luckenbach,"Luckenbach, Texas (Back to the Basics of Love)",  Waylon Jennings
 California,Malibu,L.A. Boyz,  Victoria Justice and Ariana Grande
 California,Malibu,Malibu,  Hole
 California,Malibu,Malibu,  Miley Cyrus
 California,Malibu,Malibu Gas Station,  Sonic Youth
 Utah,Manti,The Town that Raised Me,  Mary Kaye
 California,Marina del Rey,Marina del Rey,  George Strait
 Iowa,Marshalltown,Marshalltown,  Modern Life Is War
 Tennessee,Memphis,Black Velvet,  Alannah Myles
 Tennessee,Memphis,Candyman,  Grateful Dead
 Tennessee,Memphis,Considering A Move To Memphis,  The Colorblind James Experience
 Tennessee,Memphis,Crazed Country Rebel,  Hank Williams III
 Tennessee,Memphis,Graceland,  Paul Simon
 Tennessee,Memphis,Letter to Memphis,  Pixies
 Tennessee,Memphis,Maybe It Was Memphis,  Pam Tillis
 Tennessee,Memphis,Memphis,  Johnny Rivers
 Tennessee,Memphis,Memphis,  Marcy Playground
 Tennessee,Memphis,Memphis,  PJ Harvey
 Tennessee,Memphis,Memphis Beat,  Jerry Lee Lewis
 Tennessee,Memphis,Memphis Belle,  Hank Williams Jr.
