,state,city,song,artist
73, Massachusetts,Boston,I'm Yours Boston,  Big D and the Kids Table
74, Massachusetts,Boston,In Defense of Dorchester,  the Street Dogs
75, Massachusetts,Boston,Jackson Mann,  The Allstonians
76, Massachusetts,Boston,Just Like Larry,  Dispatch (subject of the song is former Boston Celtic and Basketball Hall of Famer Larry Bird)
77, Massachusetts,Boston,Knights of Bostonia,  State Radio
78, Massachusetts,Boston,Logan to Government Center,  Brand New
79, Massachusetts,Boston,Lost in Boston,  The Walkmen
80, Massachusetts,Boston,M.T.A.,  The Kingston Trio
81, Massachusetts,Boston,Mass Ave,  Willie Alexander
82, Massachusetts,Boston,Mass Pike,  The Get Up Kids
83, Massachusetts,Boston,Massachusetts Avenue,  Amanda Palmer & The Grand Theft Orchestra
84, Massachusetts,Boston,Mess,  Noah Kahan
85, Massachusetts,Boston,Midnight Rambler,  The Rolling Stones
86, Massachusetts,Boston,Modern World,  Jonathan Richman (The Modern Lovers)
87, Massachusetts,Boston,A More Perfect Union,  Titus Andronicus
88, Massachusetts,Boston,My Boston,  Big Shug
89, Massachusetts,Boston,My Sister,  Juliana Hatfield
90, Massachusetts,Boston,Never Alone,  Dropkick Murphys
91, Massachusetts,Boston,No Future (Death or Jail),  Mark Lind
92, Massachusetts,Boston,Normal Town,  Better Than Ezra
93, Massachusetts,Boston,Pipe Bomb on Lansdowne Street,  the Dropkick Murphys
94, Massachusetts,Boston,Please Come to Boston,  Dave Loggins
95, Massachusetts,Boston,The Rascal King,  The Mighty Mighty Bosstones
96, Massachusetts,Boston,Ride on Down the Highway,  Jonathan Richman (The Modern Lovers)
97, Massachusetts,Boston,Riot on Broad Street,  The Mighty Mighty Bosstones
98, Massachusetts,Boston,Riverside,  The Allstonians
99, Massachusetts,Boston,Roadrunner,  Jonathan Richman (The Modern Lovers)
100, Massachusetts,Boston,Rock and Roll Band,  Boston
101, Massachusetts,Boston,Roslindale,  Birdbrain
102, Massachusetts,Boston,Savin Hill,  Street Dogs
103, Massachusetts,Boston,She's From Boston,  Kenny Chesney
104, Massachusetts,Boston,She's Got a Boyfriend Now,  Boys Like Girls
105, Massachusetts,Boston,Shining On,  Big D and the Kids Table
106, Massachusetts,Boston,Shot Heard 'Round the World,  Ween (originally from Schoolhouse Rock)
107, Massachusetts,Boston,Skinhead on the MBTA,  the Dropkick Murphys
108, Massachusetts,Boston,Still In Massachusetts,  Refuse Resist
109, Massachusetts,Boston,Southeast of Boston,  June of 44
110, Massachusetts,Boston,South End Incident,  The Beacon Street Union
111, Massachusetts,Boston,Southie Is My Hometown,  Freddie Hall
112, Massachusetts,Boston,The State of Massachusetts,  Dropkick Murphys
113, Massachusetts,Boston,Steady Riot,  Big D and the Kids Table
114, Massachusetts,Boston,Subway,  Mary Lou Lord
115, Massachusetts,Boston,Sweet Ba James,  James Taylor
116, Massachusetts,Boston,T DJ,  Freezepop
117, Massachusetts,Boston,Tessie,  Dropkick Murphys
118, Massachusetts,Boston,There's A Black Hole in the Shadow of The Pru,  American Nightmare
119, Massachusetts,Boston,They Came To Boston,  The Mighty Mighty Bosstones
120, Massachusetts,Boston,"This Is Boston, Not L.A.",  The Freeze
121, Massachusetts,Boston,The Warrior's Code,  Dropkick Murphys (subject of the song is boxer Micky Ward)
122, Massachusetts,Boston,Time To Go,  Dropkick Murphys
123, Massachusetts,Boston,Twilight in Boston,  Jonathan Richman
124, Massachusetts,Boston,Two Soldiers,  Bob Dylan
125, Massachusetts,Boston,UK Girl (Boston Calling),  Ellis Paul
126, Massachusetts,Boston,Walkaways,  Counting Crows
127, Massachusetts,Boston,Walk Up the Street,  Jonathan Richman (The Modern Lovers)
128, Massachusetts,Boston,Walkin' Around Boston,  Didn't Planet
129, Massachusetts,Boston,Whoever's in New England,  Reba McEntire
130, Massachusetts,Boston,Why Do I,  Will Dailey
131, Massachusetts,Boston,Wicked Little Critta,  They Might Be Giants
132, Massachusetts,Boston,Winter Afternoon  B.U. in Boston,  Jonathan Richman
133, Massachusetts,Boston,Young New England,  Transit
